NAME,MAKE,CURVE_TYPE,FACE_TYPE,DEPTH,TOE_TYPE,LIE,LENGTH,NICKNAMES
PM9,BAUER,mid-heel,open,slight,round,5,medium,"[St. Louis,Hossa,Malkin,Stamkos,Larkin]"
P92,BAUER,mid-toe,open,moderate,round,5.5,medium,"[Naslund,Backstrom,Ovechkin,Matthews]"
P88,BAUER,mid,slightly-open,moderate,round,6,medium,"[Kane,Lindros]"
C91,CCM,mid,neutral,moderate,round,5,medium,"[Recchi,Tavares]"
P28,CCM,toe,open,deep,round,5,long,"[McDavid]"
P29,CCM,mid,open,moderate,round,5.5,medium,"[Crosby]"
P7,EASTON,mid,closed,slight,round,5.5,short,"[Ignila]"
P6,EASTON,heel,very-open,slight,round,5.5,medium,"[Drury,Parise]"
P8,EASTON,mid,neutral,deep,round,5,medium,"[Gaborik]"
W01,WARRIOR,mid-heel,slightly-open,slight,round,5,medium,"[Fedorov,Savard,Burrows,Lupul,Scheifele]"
W02,WARRIOR,mid,very-open,deep,square,5.5,long,"[Jovanovski,Lidstrom]"
W03,WARRIOR,mid,open,slight,round,5.5,medium,"[Draper,Kopitar,Henrique]"
TC1,TRUE,mid,open,deep,round,5.5,medium,"[]"
TC2,TRUE,toe,open,moderate,round,5.5,medium,"[]"
TC3,TRUE,toe,open,deep,round,5,long,"[]"
